log_id,roll_no,course_code,session_date,status
L00225,BSAI-23-006,CS101,05-02-2024,L
L00226,BSAI-23-006,CS101,07-02-2024,P
L00227,BSAI-23-006,CS101,12-02-2024,P
L00228,BSAI-23-006,CS101,14-02-2024,P
L00229,BSAI-23-006,CS101,19-02-2024,P
L00230,BSAI-23-006,CS101,21-02-2024,P
L00231,BSAI-23-006,CS101,26-02-2024,P
L00232,BSAI-23-006,CS101,28-02-2024,P
L00233,BSAI-23-006,CS111,23-01-2024,L
L00234,BSAI-23-006,CS111,25-01-2024,P
L00235,BSAI-23-006,CS111,30-01-2024,P
L00236,BSAI-23-006,CS111,01-02-2024,P
L00237,BSAI-23-006,CS111,06-02-2024,L
L00238,BSAI-23-006,CS111,08-02-2024,P
L00239,BSAI-23-006,CS111,13-02-2024,P
L00240,BSAI-23-006,CS111,15-02-2024,P
L00241,BSAI-23-006,CS111,20-02-2024,P
L00242,BSAI-23-006,CS111,22-02-2024,P
L00243,BSAI-23-006,CS111,27-02-2024,P
L00244,BSAI-23-006,CS111,29-02-2024,L
L00245,BSAI-23-006,HU101,22-01-2024,P
L00246,BSAI-23-006,HU101,29-01-2024,P
L00247,BSAI-23-006,HU101,05-02-2024,P
L00248,BSAI-23-006,HU101,12-02-2024,P
L00249,BSAI-23-006,HU101,19-02-2024,L
L00250,BSAI-23-006,HU101,26-02-2024,P
L00251,BSAI-23-006,HU101,04-03-2024,P
L00252,BSAI-23-006,HU101,11-03-2024,P
L00253,BSAI-23-006,HU101,18-03-2024,P
L00254,BSAI-23-006,HU101,25-03-2024,P
L00255,BSAI-23-006,IS101,23-01-2024,P
L00256,BSAI-23-006,IS101,30-01-2024,A
L00257,BSAI-23-006,IS101,06-02-2024,P
L00258,BSAI-23-006,IS101,13-02-2024,P
L00259,BSAI-23-006,IS101,20-02-2024,P
L00260,BSAI-23-006,IS101,27-02-2024,P
L00261,BSAI-23-006,IS101,05-03-2024,P
L00262,BSAI-23-006,IS101,12-03-2024,P
L00263,BSAI-23-006,IS101,19-03-2024,P
L00264,BSAI-23-006,IS101,26-03-2024,P
L00265,BSAI-23-007,CS101,22-01-2024,A
L00266,BSAI-23-007,CS101,24-01-2024,A
L00267,BSAI-23-007,CS101,29-01-2024,A
L00268,BSAI-23-007,CS101,31-01-2024,P
L00269,BSAI-23-007,CS101,05-02-2024,A
L00270,BSAI-23-007,CS101,07-02-2024,A
L00271,BSAI-23-007,CS101,12-02-2024,P
L00272,BSAI-23-007,CS101,14-02-2024,A
L00273,BSAI-23-007,CS101,19-02-2024,A
L00274,BSAI-23-007,CS101,21-02-2024,P
L00275,BSAI-23-007,CS101,26-02-2024,A
L00276,BSAI-23-007,CS101,28-02-2024,A
L00277,BSAI-23-007,CS111,23-01-2024,A
L00278,BSAI-23-007,CS111,25-01-2024,A
L00279,BSAI-23-007,CS111,30-01-2024,A
L00280,BSAI-23-007,CS111,01-02-2024,P
L00281,BSAI-23-007,CS111,06-02-2024,A
L00282,BSAI-23-007,CS111,08-02-2024,A
L00283,BSAI-23-007,CS111,13-02-2024,P
L00284,BSAI-23-007,CS111,15-02-2024,A
L00285,BSAI-23-007,CS111,20-02-2024,A
L00286,BSAI-23-007,CS111,22-02-2024,P
L00287,BSAI-23-007,CS111,27-02-2024,A
L00288,BSAI-23-007,CS111,29-02-2024,A
L00289,BSAI-23-007,HU101,22-01-2024,A
L00290,BSAI-23-007,HU101,29-01-2024,A
L00291,BSAI-23-007,HU101,05-02-2024,A
L00292,BSAI-23-007,HU101,12-02-2024,P
L00293,BSAI-23-007,HU101,19-02-2024,A
L00294,BSAI-23-007,HU101,26-02-2024,A
L00295,BSAI-23-007,HU101,04-03-2024,P
L00296,BSAI-23-007,HU101,11-03-2024,A
L00297,BSAI-23-007,HU101,18-03-2024,A
L00298,BSAI-23-007,HU101,25-03-2024,P
L00299,BSAI-23-007,IS101,23-01-2024,A
L00300,BSAI-23-007,IS101,30-01-2024,A
L00301,BSAI-23-007,IS101,06-02-2024,A
L00302,BSAI-23-007,IS101,13-02-2024,P
L00303,BSAI-23-007,IS101,20-02-2024,A
L00304,BSAI-23-007,IS101,27-02-2024,A
L00305,BSAI-23-007,IS101,05-03-2024,P
L00306,BSAI-23-007,IS101,12-03-2024,A
L00307,BSAI-23-007,IS101,19-03-2024,A
L00308,BSAI-23-007,IS101,26-03-2024,P
L00309,BSAI-23-008,CS101,22-01-2024,L
L00310,BSAI-23-008,CS101,24-01-2024,L
L00311,BSAI-23-008,CS101,29-01-2024,P
L00312,BSAI-23-008,CS101,31-01-2024,P
L00313,BSAI-23-008,CS101,05-02-2024,P
L00314,BSAI-23-008,CS101,07-02-2024,P
L00315,BSAI-23-008,CS101,12-02-2024,P
L00316,BSAI-23-008,CS101,14-02-2024,P
L00317,BSAI-23-008,CS101,19-02-2024,P
L00318,BSAI-23-008,CS101,21-02-2024,P
L00319,BSAI-23-008,CS101,26-02-2024,P
L00320,BSAI-23-008,CS101,28-02-2024,P
L00321,BSAI-23-008,CS111,23-01-2024,P
L00322,BSAI-23-008,CS111,25-01-2024,P
L00323,BSAI-23-008,CS111,30-01-2024,P
L00324,BSAI-23-008,CS111,01-02-2024,P
L00325,BSAI-23-008,CS111,06-02-2024,P
L00326,BSAI-23-008,CS111,08-02-2024,P
L00327,BSAI-23-008,CS111,13-02-2024,P
L00328,BSAI-23-008,CS111,15-02-2024,P
L00329,BSAI-23-008,CS111,20-02-2024,P
L00330,BSAI-23-008,CS111,22-02-2024,P
L00331,BSAI-23-008,CS111,27-02-2024,P
L00332,BSAI-23-008,CS111,29-02-2024,P
L00333,BSAI-23-008,HU101,22-01-2024,L
L00334,BSAI-23-008,HU101,29-01-2024,P
L00335,BSAI-23-008,HU101,05-02-2024,P
L00336,BSAI-23-008,HU101,12-02-2024,P
L00337,BSAI-23-008,HU101,19-02-2024,P
L00338,BSAI-23-008,HU101,26-02-2024,P
L00339,BSAI-23-008,HU101,04-03-2024,P
L00340,BSAI-23-008,HU101,11-03-2024,P
L00341,BSAI-23-008,HU101,18-03-2024,P
L00342,BSAI-23-008,HU101,25-03-2024,P
L00343,BSAI-23-008,IS101,23-01-2024,P
L00344,BSAI-23-008,IS101,30-01-2024,P
L00345,BSAI-23-008,IS101,06-02-2024,P
L00346,BSAI-23-008,IS101,13-02-2024,P
L00347,BSAI-23-008,IS101,20-02-2024,P
L00348,BSAI-23-008,IS101,27-02-2024,P
L00349,BSAI-23-008,IS101,05-03-2024,P
L00350,BSAI-23-008,IS101,12-03-2024,P
L00351,BSAI-23-008,IS101,19-03-2024,P
L00352,BSAI-23-008,IS101,26-03-2024,P
L00353,BSAI-23-009,CS101,22-01-2024,P
L00354,BSAI-23-009,CS101,24-01-2024,P
L00355,BSAI-23-009,CS101,29-01-2024,L
L00356,BSAI-23-009,CS101,31-01-2024,P
L00357,BSAI-23-009,CS101,05-02-2024,P
L00358,BSAI-23-009,CS101,07-02-2024,L
L00359,BSAI-23-009,CS101,12-02-2024,P
L00360,BSAI-23-009,CS101,14-02-2024,P
L00361,BSAI-23-009,CS101,19-02-2024,P
L00362,BSAI-23-009,CS101,21-02-2024,L
L00363,BSAI-23-009,CS101,26-02-2024,P
L00364,BSAI-23-009,CS101,28-02-2024,P
L00365,BSAI-23-009,CS111,23-01-2024,P
L00366,BSAI-23-009,CS111,25-01-2024,P
L00367,BSAI-23-009,CS111,30-01-2024,L
L00368,BSAI-23-009,CS111,01-02-2024,P
L00369,BSAI-23-009,CS111,06-02-2024,P
L00370,BSAI-23-009,CS111,08-02-2024,L
L00371,BSAI-23-009,CS111,13-02-2024,P
L00372,BSAI-23-009,CS111,15-02-2024,P
L00373,BSAI-23-009,CS111,20-02-2024,P
L00374,BSAI-23-009,CS111,22-02-2024,L
L00375,BSAI-23-009,CS111,27-02-2024,P
L00376,BSAI-23-009,CS111,29-02-2024,P
L00377,BSAI-23-009,HU101,22-01-2024,P
L00378,BSAI-23-009,HU101,29-01-2024,P
L00379,BSAI-23-009,HU101,05-02-2024,L
L00380,BSAI-23-009,HU101,12-02-2024,P
L00381,BSAI-23-009,HU101,19-02-2024,P
L00382,BSAI-23-009,HU101,26-02-2024,L
L00383,BSAI-23-009,HU101,04-03-2024,P
L00384,BSAI-23-009,HU101,11-03-2024,P
L00385,BSAI-23-009,HU101,18-03-2024,P
L00386,BSAI-23-009,HU101,25-03-2024,L
L00387,BSAI-23-009,IS101,23-01-2024,P
L00388,BSAI-23-009,IS101,30-01-2024,P
L00389,BSAI-23-009,IS101,06-02-2024,L
L00390,BSAI-23-009,IS101,13-02-2024,P
L00391,BSAI-23-009,IS101,20-02-2024,P
L00392,BSAI-23-009,IS101,27-02-2024,L
L00393,BSAI-23-009,IS101,05-03-2024,P
L00394,BSAI-23-009,IS101,12-03-2024,P
L00395,BSAI-23-009,IS101,19-03-2024,P
L00396,BSAI-23-009,IS101,26-03-2024,L
L00397,BSAI-23-010,CS101,22-01-2024,P
L00398,BSAI-23-010,CS101,24-01-2024,A
L00399,BSAI-23-010,CS101,29-01-2024,P
L00400,BSAI-23-010,CS101,31-01-2024,P
L00401,BSAI-23-010,CS101,05-02-2024,P
L00402,BSAI-23-010,CS101,07-02-2024,P
L00403,BSAI-23-010,CS101,12-02-2024,P
L00404,BSAI-23-010,CS101,14-02-2024,P
L00405,BSAI-23-010,CS101,19-02-2024,P
L00406,BSAI-23-010,CS101,21-02-2024,A
L00407,BSAI-23-010,CS101,26-02-2024,P
L00408,BSAI-23-010,CS101,28-02-2024,P
L00409,BSAI-23-010,CS111,23-01-2024,P
L00410,BSAI-23-010,CS111,25-01-2024,L
L00411,BSAI-23-010,CS111,30-01-2024,P
L00412,BSAI-23-010,CS111,01-02-2024,P
L00413,BSAI-23-010,CS111,06-02-2024,P
L00414,BSAI-23-010,CS111,08-02-2024,A
L00415,BSAI-23-010,CS111,13-02-2024,P
L00416,BSAI-23-010,CS111,15-02-2024,A
L00417,BSAI-23-010,CS111,20-02-2024,P
L00418,BSAI-23-010,CS111,22-02-2024,P
L00419,BSAI-23-010,CS111,27-02-2024,P
L00420,BSAI-23-010,CS111,29-02-2024,P
L00421,BSAI-23-010,HU101,22-01-2024,P
L00422,BSAI-23-010,HU101,29-01-2024,P
L00423,BSAI-23-010,HU101,05-02-2024,P
L00424,BSAI-23-010,HU101,12-02-2024,P
L00425,BSAI-23-010,HU101,19-02-2024,L
L00426,BSAI-23-010,HU101,26-02-2024,L
L00427,BSAI-23-010,HU101,04-03-2024,P
L00428,BSAI-23-010,HU101,11-03-2024,A
L00429,BSAI-23-010,HU101,18-03-2024,P
L00430,BSAI-23-010,HU101,25-03-2024,P
L00431,BSAI-23-010,IS101,23-01-2024,P
L00432,BSAI-23-010,IS101,30-01-2024,P
L00433,BSAI-23-010,IS101,06-02-2024,P
L00434,BSAI-23-010,IS101,13-02-2024,P
L00435,BSAI-23-010,IS101,20-02-2024,P
L00436,BSAI-23-010,IS101,27-02-2024,P
L00437,BSAI-23-010,IS101,05-03-2024,P
L00438,BSAI-23-010,IS101,12-03-2024,P
L00439,BSAI-23-010,IS101,19-03-2024,P
L00440,BSAI-23-010,IS101,26-03-2024,P
L00441,BSAI-23-011,CS101,22-01-2024,P
L00442,BSAI-23-011,CS101,24-01-2024,P
L00443,BSAI-23-011,CS101,29-01-2024,P
L00444,BSAI-23-011,CS101,31-01-2024,P
L00445,BSAI-23-011,CS101,05-02-2024,P
L00446,BSAI-23-011,CS101,07-02-2024,P
L00447,BSAI-23-011,CS101,12-02-2024,P
L00448,BSAI-23-011,CS101,14-02-2024,P
L00449,BSAI-23-011,CS101,19-02-2024,A
L00450,BSAI-23-011,CS101,21-02-2024,P
L00451,BSAI-23-011,CS101,26-02-2024,P
L00452,BSAI-23-011,CS101,28-02-2024,P
L00453,BSAI-23-011,CS111,23-01-2024,P
L00454,BSAI-23-011,CS111,25-01-2024,P
L00455,BSAI-23-011,CS111,30-01-2024,P
L00456,BSAI-23-011,CS111,01-02-2024,P
L00457,BSAI-23-011,CS111,06-02-2024,P
L00458,BSAI-23-011,CS111,08-02-2024,L
L00459,BSAI-23-011,CS111,13-02-2024,L
L00460,BSAI-23-011,CS111,15-02-2024,L
L00461,BSAI-23-011,CS111,20-02-2024,P
L00462,BSAI-23-011,CS111,22-02-2024,P
L00463,BSAI-23-011,CS111,27-02-2024,P
L00464,BSAI-23-011,CS111,29-02-2024,P
L00465,BSAI-23-011,HU101,22-01-2024,A
L00466,BSAI-23-011,HU101,29-01-2024,P
L00467,BSAI-23-011,HU101,05-02-2024,L
L00468,BSAI-23-011,HU101,12-02-2024,P
L00469,BSAI-23-011,HU101,19-02-2024,P
L00470,BSAI-23-011,HU101,26-02-2024,L
L00471,BSAI-23-011,HU101,04-03-2024,P
L00472,BSAI-23-011,HU101,11-03-2024,P
L00473,BSAI-23-011,HU101,18-03-2024,P
L00474,BSAI-23-011,HU101,25-03-2024,P
L00475,BSAI-23-011,IS101,23-01-2024,A
L00476,BSAI-23-011,IS101,30-01-2024,P
L00477,BSAI-23-011,IS101,06-02-2024,P
L00478,BSAI-23-011,IS101,13-02-2024,P
L00479,BSAI-23-011,IS101,20-02-2024,P
L00480,BSAI-23-011,IS101,27-02-2024,P
L00481,BSAI-23-011,IS101,05-03-2024,P
L00482,BSAI-23-011,IS101,12-03-2024,P
L00483,BSAI-23-011,IS101,19-03-2024,P
L00484,BSAI-23-011,IS101,26-03-2024,P
L00485,BSAI-23-012,CS101,22-01-2024,L
L00486,BSAI-23-012,CS101,24-01-2024,P
L00487,BSAI-23-012,CS101,29-01-2024,P
L00488,BSAI-23-012,CS101,31-01-2024,P
L00489,BSAI-23-012,CS101,05-02-2024,P
L00490,BSAI-23-012,CS101,07-02-2024,P
L00491,BSAI-23-012,CS101,12-02-2024,P
L00492,BSAI-23-012,CS101,14-02-2024,P
L00493,BSAI-23-012,CS101,19-02-2024,P
L00494,BSAI-23-012,CS101,21-02-2024,P
L00495,BSAI-23-012,CS101,26-02-2024,P
L00496,BSAI-23-012,CS101,28-02-2024,P
L00497,BSAI-23-012,CS111,23-01-2024,P
L00498,BSAI-23-012,CS111,25-01-2024,P
L00499,BSAI-23-012,CS111,30-01-2024,P
L00500,BSAI-23-012,CS111,01-02-2024,L
L00501,BSAI-23-012,CS111,06-02-2024,P
L00502,BSAI-23-012,CS111,08-02-2024,P
L00503,BSAI-23-012,CS111,13-02-2024,L
L00504,BSAI-23-012,CS111,15-02-2024,P
L00505,BSAI-23-012,CS111,20-02-2024,P
L00506,BSAI-23-012,CS111,22-02-2024,P
L00507,BSAI-23-012,CS111,27-02-2024,P
L00508,BSAI-23-012,CS111,29-02-2024,P
L00509,BSAI-23-012,HU101,22-01-2024,P
L00510,BSAI-23-012,HU101,29-01-2024,P
L00511,BSAI-23-012,HU101,05-02-2024,L
L00512,BSAI-23-012,HU101,12-02-2024,P
L00513,BSAI-23-012,HU101,19-02-2024,L
L00514,BSAI-23-012,HU101,26-02-2024,P
L00515,BSAI-23-012,HU101,04-03-2024,P
L00516,BSAI-23-012,HU101,11-03-2024,P
L00517,BSAI-23-012,HU101,18-03-2024,P
L00518,BSAI-23-012,HU101,25-03-2024,P
L00519,BSAI-23-012,IS101,23-01-2024,P
L00520,BSAI-23-012,IS101,30-01-2024,P
L00521,BSAI-23-012,IS101,06-02-2024,P
L00522,BSAI-23-012,IS101,13-02-2024,P
L00523,BSAI-23-012,IS101,20-02-2024,P
L00524,BSAI-23-012,IS101,27-02-2024,P
L00525,BSAI-23-012,IS101,05-03-2024,P
L00526,BSAI-23-012,IS101,12-03-2024,P
L00527,BSAI-23-012,IS101,19-03-2024,L
L00528,BSAI-23-012,IS101,26-03-2024,P
L00529,BSAI-23-013,CS101,22-01-2024,P
L00530,BSAI-23-013,CS101,24-01-2024,A
L00531,BSAI-23-013,CS101,29-01-2024,A
L00532,BSAI-23-013,CS101,31-01-2024,P
L00533,BSAI-23-013,CS101,05-02-2024,A
L00534,BSAI-23-013,CS101,07-02-2024,A
L00535,BSAI-23-013,CS101,12-02-2024,P
L00536,BSAI-23-013,CS101,14-02-2024,A
L00537,BSAI-23-013,CS101,19-02-2024,A
