enrollment_id,roll_no,course_code,semester,enrollment_date,status
E0083,BSAI-23-021,CS111,2,15-01-2024,active
E0084,BSAI-23-021,HU101,2,15-01-2024,active
E0085,BSAI-23-021,IS101,2,15-01-2024,active
E0086,BSAI-23-022,CS101,2,15-01-2024,active
E0087,BSAI-23-022,CS111,2,15-01-2024,active
E0088,BSAI-23-022,HU101,2,15-01-2024,active
E0089,BSAI-23-022,IS101,2,15-01-2024,active
E0090,BSAI-23-022,CS121,2,15-01-2024,active
E0091,BSAI-23-023,CS101,2,15-01-2024,active
E0092,BSAI-23-023,CS111,2,15-01-2024,active
E0093,BSAI-23-023,HU101,2,15-01-2024,active
E0094,BSAI-23-023,IS101,2,15-01-2024,active
E0095,BSAI-23-024,CS101,2,15-01-2024,active
E0096,BSAI-23-024,CS111,2,15-01-2024,active
E0097,BSAI-23-024,HU101,2,15-01-2024,active
E0098,BSAI-23-024,IS101,2,15-01-2024,active
E0099,BSAI-23-024,CS121,2,15-01-2024,active
E0100,BSAI-23-025,CS101,2,15-01-2024,active
E0101,BSAI-23-025,CS111,2,15-01-2024,active
E0102,BSAI-23-025,HU101,2,15-01-2024,active
E0103,BSAI-23-025,IS101,2,15-01-2024,active
E0104,BSAI-23-026,CS101,2,15-01-2024,dropped
E0105,BSAI-23-026,CS111,2,15-01-2024,active
E0106,BSAI-23-026,HU101,2,15-01-2024,active
E0107,BSAI-23-026,IS101,2,15-01-2024,active
E0108,BSAI-23-027,CS101,2,15-01-2024,active
E0109,BSAI-23-027,CS111,2,15-01-2024,active
E0110,BSAI-23-027,HU101,2,15-01-2024,active
E0111,BSAI-23-027,IS101,2,15-01-2024,active
E0112,BSAI-23-028,CS101,2,15-01-2024,active
E0113,BSAI-23-028,CS111,2,15-01-2024,active
E0114,BSAI-23-028,HU101,2,15-01-2024,active
E0115,BSAI-23-028,IS101,2,15-01-2024,active
E0116,BSAI-23-029,CS101,2,15-01-2024,active
E0117,BSAI-23-029,CS111,2,15-01-2024,active
E0118,BSAI-23-029,HU101,2,15-01-2024,active
E0119,BSAI-23-029,IS101,2,15-01-2024,active
E0120,BSAI-23-029,CS121,2,15-01-2024,active
E0121,BSAI-23-030,CS101,2,15-01-2024,active
E0122,BSAI-23-030,CS111,2,15-01-2024,active
E0123,BSAI-23-030,HU101,2,15-01-2024,active
E0124,BSAI-23-030,IS101,2,15-01-2024,active
E0125,BSAI-23-026,CS102,2,15-01-2024,dropped
